Feature,Average Importance
school,-0.049645027746678824
age,-0.04965020838776661
address,
famsize,0.04550217002289086
Pstatus,
Medu,0.06456156173172278
Fedu,
Mjob,0.024534494172640735
Fjob,
reason,
guardian,-0.0537328823018573
traveltime,7.935544869374159e-05
studytime,-0.016616789089521848
failures,0.0526585880746654
schoolsup,-0.016832715607222746
famsup,-0.06744886578395244
fatherd,0.05178008408531096
activities,0.05629071222067573
nursery,
higher,
internet,
romantic,-0.058016950865925114
famrel,0.07983719687180206
freetime,0.04446041888072179
goout,-0.022281309722091535
Dalc,0.17895356870201512
Walc,0.11747122540221062
health,0.08371198342826879
absences,
G1,
G2,0.0017522763789769118
