0,1,2,3,4,5,6,7,8,9
"('Walc > 3.00', -0.3678289592136323)","('Dalc <= 1.00', 0.23676489287545976)","('Mjob > 3.00', -0.07938639778425483)","('G2 > 13.00', 0.07815115763913275)","('famrel <= 4.00', 0.07717176931974269)","('famsup <= 0.00', -0.07566445019798797)","('health <= 2.00', 0.073737999479985)","('freetime <= 3.00', 0.07247334548719078)","('2.00 < Medu <= 4.00', -0.06745051327084026)","('17.00 < age <= 18.00', 0.05214815601894931)"
"('1.00 < Dalc <= 2.00', -0.12270382071421902)","('activities <= 0.00', 0.07547821980784597)","('0.00 < famsup <= 1.00', 0.06484390152331097)","('romantic <= 0.00', -0.06279709363375212)","('age <= 16.00', -0.06219909250118745)","('famrel <= 4.00', 0.062047665565105166)","('2.00 < Medu <= 4.00', -0.056215061665477774)","('freetime <= 3.00', 0.0540711299888652)","('2.00 < Mjob <= 3.00', -0.051478303690430584)","('1.00 < studytime <= 2.00', 0.04863198476003128)"
"('Dalc <= 1.00', 0.22171972438057305)","('health <= 2.00', 0.08931966488174385)","('Mjob > 3.00', -0.08644275171074951)","('famrel <= 4.00', 0.0775750554995747)","('G2 > 13.00', 0.07097241889026898)","('2.00 < Medu <= 4.00', -0.06945182366305347)","('goout > 4.00', 0.06626079724771514)","('romantic <= 0.00', -0.06478315674541786)","('freetime <= 3.00', 0.05918707630552726)","('famsup <= 0.00', -0.05840113584724037)"
"('Dalc <= 1.00', 0.22528373077930555)","('2.00 < Walc <= 3.00', -0.17224793357484894)","('Mjob <= 1.00', 0.09033197356020922)","('health <= 2.00', 0.08072586068179705)","('2.00 < Medu <= 4.00', -0.0739861247764394)","('4.00 < famrel <= 5.00', -0.0710549591831551)","('age <= 16.00', -0.06734672851756193)","('0.00 < famsup <= 1.00', 0.059564645236139344)","('freetime <= 3.00', 0.04923165817387802)","('activities <= 0.00', 0.049215896120215326)"
"('Walc > 3.00', -0.366969331139528)","('1.00 < Dalc <= 2.00', -0.1078211740482257)","('4.00 < health <= 5.00', -0.08489541917435768)","('famrel <= 4.00', 0.07726206263203754)","('0.00 < famsup <= 1.00', 0.06681172908885431)","('freetime <= 3.00', 0.06503605324335723)","('0.00 < romantic <= 1.00', 0.06046316760987828)","('failures <= 0.00', 0.05969348522544751)","('age <= 16.00', -0.0574193805616513)","('activities <= 0.00', 0.05585871727568394)"
"('Walc <= 1.00', 0.36980390661334406)","('Dalc <= 1.00', 0.22868255855761624)","('studytime > 2.00', 0.11209709204884313)","('Mjob > 3.00', -0.09509907781111146)","('famrel <= 4.00', 0.08201172627319708)","('G2 > 13.00', 0.07993874199583)","('famsup <= 0.00', -0.07578509585228548)","('age <= 16.00', -0.06502328639383675)","('2.00 < Medu <= 4.00', -0.059627341064847274)","('0.00 < activities <= 1.00', -0.05762729872046414)"
"('Walc <= 1.00', 0.3674031184229698)","('Dalc <= 1.00', 0.22980648394580316)","('Mjob <= 1.00', 0.09435824606347655)","('famrel <= 4.00', 0.08166869293260087)","('G2 > 13.00', 0.08011857725839518)","('famsup <= 0.00', -0.0709941332176208)","('2.00 < Medu <= 4.00', -0.06953837906066336)","('age <= 16.00', -0.06353489430825231)","('0.00 < romantic <= 1.00', 0.05370155901648781)","('freetime <= 3.00', 0.0506869447853054)"
"('Dalc <= 1.00', 0.22713069171004951)","('2.00 < Walc <= 3.00', -0.1725555384123231)","('4.00 < famrel <= 5.00', -0.08687188874511152)","('4.00 < health <= 5.00', -0.08355950229021232)","('G2 <= 10.00', -0.0804811351384355)","('0.00 < famsup <= 1.00', 0.06455116320580594)","('guardian <= 1.00', -0.062419197866793605)","('2.00 < Mjob <= 3.00', -0.059328388165489424)","('Medu <= 2.00', 0.05661441474380708)","('0.00 < romantic <= 1.00', 0.0554197867225158)"
"('Walc > 3.00', -0.3840418145365602)","('1.00 < Dalc <= 2.00', -0.12891220743207954)","('famrel <= 4.00', 0.08230531131440622)","('0.00 < famsup <= 1.00', 0.0684024908565133)","('G2 <= 10.00', -0.06795079949910021)","('2.00 < Medu <= 4.00', -0.06305222812180727)","('freetime <= 3.00', 0.05895397554773404)","('1.00 < studytime <= 2.00', 0.05634051844780841)","('2.00 < Mjob <= 3.00', -0.05139630881233826)","('romantic <= 0.00', -0.04871592052899294)"
"('Dalc <= 1.00', 0.22599898975162117)","('0.00 < famsup <= 1.00', 0.07557277758497472)","('G2 <= 10.00', -0.07534202369140094)","('famrel <= 4.00', 0.07150848950564345)","('4.00 < health <= 5.00', -0.06302657057435622)","('activities <= 0.00', 0.06098205157418135)","('Medu <= 2.00', 0.058882580413851596)","('freetime <= 3.00', 0.05406208423707733)","('1.00 < studytime <= 2.00', 0.05172667047738217)","('traveltime <= 1.00', 0.04845599779618063)"
"('Walc <= 1.00', 0.36961518427637635)","('Dalc > 2.00', -0.2685469871616769)","('studytime > 2.00', 0.10330069756113307)","('Mjob > 3.00', -0.09837005637423236)","('famrel <= 4.00', 0.07715718865219882)","('4.00 < health <= 5.00', -0.07632516035695204)","('famsup <= 0.00', -0.0651611955829903)","('2.00 < Medu <= 4.00', -0.06310428933030254)","('G2 > 13.00', 0.06291920807588659)","('0.00 < romantic <= 1.00', 0.05554175446441035)"
"('Walc > 3.00', -0.37141620506279965)","('studytime <= 1.00', -0.12688078791348972)","('1.00 < Dalc <= 2.00', -0.11971646078895125)","('famrel <= 4.00', 0.08701015114241666)","('famsup <= 0.00', -0.07943274476180795)","('age <= 16.00', -0.07225516299701065)","('4.00 < health <= 5.00', -0.06257101333317011)","('goout <= 2.00', -0.059233586967489864)","('romantic <= 0.00', -0.05909181979974409)","('activities <= 0.00', 0.05822448566590217)"
"('Dalc <= 1.00', 0.2386846162565037)","('2.00 < Walc <= 3.00', -0.15325320284475502)","('studytime > 2.00', 0.11405336550546852)","('Mjob <= 1.00', 0.09039274549135227)","('health <= 2.00', 0.08481426328315551)","('4.00 < famrel <= 5.00', -0.07566879515065113)","('freetime <= 3.00', 0.07058675036496638)","('famsup <= 0.00', -0.06778495044866055)","('2.00 < Medu <= 4.00', -0.06488953624986558)","('0.00 < romantic <= 1.00', 0.06385259223664498)"
"('Dalc <= 1.00', 0.2308385386614116)","('studytime > 2.00', 0.09886729961937767)","('4.00 < famrel <= 5.00', -0.07863232966330956)","('G2 <= 10.00', -0.07458113944383984)","('4.00 < health <= 5.00', -0.06991947063794442)","('romantic <= 0.00', -0.06476808444755935)","('famsup <= 0.00', -0.06062134240210561)","('Medu <= 2.00', 0.05732537560511328)","('age <= 16.00', -0.054282058363810705)","('activities <= 0.00', 0.04974647888275169)"
"('studytime > 2.00', 0.11074115678384608)","('1.00 < Dalc <= 2.00', -0.1044821813900443)","('4.00 < health <= 5.00', -0.07897288107731233)","('age <= 16.00', -0.07387665164030348)","('famrel <= 4.00', 0.07364554758899494)","('Medu <= 2.00', 0.06800739710615519)","('failures <= 0.00', 0.05049634338927886)","('0.00 < famsup <= 1.00', 0.050455647187381505)","('romantic <= 0.00', -0.046353177444992906)","('0.00 < school <= 1.00', 0.0434874395721897)"
